Genre,Type,Source,Producer,Studio,Rating,Members,ScoredBy,Episodes,C_Popular
24,4,6,11,2,7.07,38453.0,22548.0,1.0,0
0,5,15,12,49,7.07,6747.0,3220.0,13.0,1
1,3,6,23,4,7.42,44097.0,22727.0,1.0,0
6,3,9,11,11,6.61,1531.0,475.0,7.0,1
0,5,9,45,34,7.02,23017.0,8783.0,49.0,0
11,5,9,0,6,7.17,7351.0,2549.0,26.0,1
1,5,9,3,6,6.84,4636.0,1346.0,26.0,1
6,5,9,0,2,7.17,9649.0,3535.0,13.0,1
6,0,12,20,13,6.51,4458.0,2203.0,1.0,1
1,5,12,0,64,6.4,17571.0,7341.0,12.0,0
1,5,5,21,19,6.59,4703.0,1626.0,13.0,1
16,5,9,35,4,6.38,6192.0,1884.0,13.0,1
1,3,9,41,23,6.72,11304.0,4367.0,5.0,1
2,5,6,3,3,6.77,1848.0,368.0,35.0,1
6,0,9,11,2,7.66,70788.0,40341.0,1.0,0
6,5,9,101,2,6.76,26777.0,12557.0,13.0,0
2,5,15,3,26,7.13,17414.0,6163.0,13.0,0
0,5,12,0,16,7.05,13039.0,5142.0,12.0,1
6,5,6,3,5,6.88,3627.0,834.0,25.0,1
0,5,6,42,10,6.14,13172.0,6132.0,12.0,1
1,5,6,54,48,8.38,53912.0,28850.0,26.0,0
1,3,9,0,37,7.22,5378.0,2420.0,6.0,1
3,5,15,0,2,6.9,6605.0,2336.0,13.0,1
8,5,6,37,5,7.27,54220.0,19631.0,13.0,0
0,5,9,0,2,6.71,13018.0,5760.0,13.0,1
6,5,9,15,2,6.95,7598.0,3153.0,13.0,1
1,5,6,18,4,6.74,13545.0,7270.0,16.0,1
5,4,6,67,6,8.06,16449.0,9268.0,1.0,0
1,5,6,37,21,6.87,16451.0,7952.0,12.0,0
3,5,9,0,2,7.26,7371.0,3586.0,9.0,1
1,5,9,0,2,7.4,6933.0,3098.0,26.0,1
1,5,4,0,2,7.32,5661.0,2288.0,13.0,1
24,4,12,27,23,7.42,32301.0,19884.0,2.0,0
1,4,0,20,4,7.09,31379.0,18336.0,1.0,0
6,3,6,52,42,7.22,30086.0,12831.0,7.0,0
6,3,6,52,42,7.43,36202.0,14496.0,6.0,0
1,5,6,0,48,6.75,36552.0,17809.0,12.0,0
1,5,6,34,68,5.89,11829.0,4195.0,13.0,1
1,3,14,4,45,6.17,9169.0,4362.0,3.0,1
2,5,12,102,66,6.9,32309.0,14487.0,12.0,0
6,5,15,0,10,7.2,9289.0,3285.0,26.0,1
